rank,id,symbol,name,filepath,rows,status,error
42,world-liberty-financial,wlfi,World Liberty Financial,data\0042_world-liberty-financial_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
50,bitget-token,bgb,Bitget Token,data\0050_bitget-token_usd_prices_365d.csv,366,ok,
43,bittensor,tao,Bittensor,data\0043_bittensor_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
51,pepe,pepe,Pepe,data\0051_pepe_usd_prices_365d.csv,366,ok,
52,near,near,NEAR Protocol,data\0052_near_usd_prices_365d.csv,366,ok,
44,uniswap,uni,Uniswap,data\0044_uniswap_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
45,memecore,m,MemeCore,data\0045_memecore_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
46,aave,aave,Aave,data\0046_aave_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
47,ethena,ena,Ethena,data\0047_ethena_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
53,usd1-wlfi,usd1,USD1,data\0053_usd1-wlfi_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
61,ondo-finance,ondo,Ondo,data\0061_ondo-finance_usd_prices_365d.csv,366,ok,
54,blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,data\0054_blackrock-usd-institutional-digital-liquidity-fund_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
62,aster-2,aster,Aster,data\0062_aster-2_usd_prices_365d.csv,39,ok,
55,jito-staked-sol,jitosol,Jito Staked SOL,data\0055_jito-staked-sol_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
63,jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,data\0063_jupiter-perpetuals-liquidity-provider-token_usd_prices_365d.csv,366,ok,
56,paypal-usd,pyusd,PayPal USD,data\0056_paypal-usd_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
64,falcon-finance,usdf,Falcon USD,data\0064_falcon-finance_usd_prices_365d.csv,247,ok,
57,wrapped-solana,sol,Wrapped SOL,data\0057_wrapped-solana_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
58,ethereum-classic,etc,Ethereum Classic,data\0058_ethereum-classic_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
59,aptos,apt,Aptos,data\0059_aptos_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
60,binance-peg-weth,weth,Binance-Peg WETH,data\0060_binance-peg-weth_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
65,tether-gold,xaut,Tether Gold,data\0065_tether-gold_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
73,pi-network,pi,Pi Network,data\0073_pi-network_usd_prices_365d.csv,250,ok,
66,polygon-ecosystem-token,pol,POL (ex-MATIC),data\0066_polygon-ecosystem-token_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
74,internet-computer,icp,Internet Computer,data\0074_internet-computer_usd_prices_365d.csv,366,ok,
67,worldcoin-wld,wld,Worldcoin,data\0067_worldcoin-wld_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
75,kinetic-staked-hype,khype,Kinetiq Staked HYPE,data\0075_kinetic-staked-hype_usd_prices_365d.csv,104,ok,
68,usdtb,usdtb,USDtb,data\0068_usdtb_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
76,binance-staked-sol,bnsol,Binance Staked SOL,data\0076_binance-staked-sol_usd_prices_365d.csv,366,ok,
69,gatechain-token,gt,Gate,data\0069_gatechain-token_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
77,htx-dao,htx,HTX DAO,data\0077_htx-dao_usd_prices_365d.csv,366,ok,
70,rocket-pool-eth,reth,Rocket Pool ETH,data\0070_rocket-pool-eth_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
78,story-2,ip,Story,data\0078_story-2_usd_prices_365d.csv,257,ok,
71,arbitrum,arb,Arbitrum,data\0071_arbitrum_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
72,kucoin-shares,kcs,KuCoin,data\0072_kucoin-shares_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
79,hash-2,hash,Provenance Blockchain,data\0079_hash-2_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
87,wbnb,wbnb,Wrapped BNB,data\0087_wbnb_usd_prices_365d.csv,366,ok,
80,algorand,algo,Algorand,data\0080_algorand_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
88,liquid-staked-ethereum,lseth,Liquid Staked ETH,data\0088_liquid-staked-ethereum_usd_prices_365d.csv,366,ok,
81,pump-fun,pump,Pump.fun,data\0081_pump-fun_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
89,sky,sky,Sky,data\0089_sky_usd_prices_365d.csv,366,ok,
82,kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,data\0082_kelp-dao-restaked-eth_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
83,kaspa,kas,Kaspa,data\0083_kaspa_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
84,stakewise-v3-oseth,oseth,StakeWise Staked ETH,data\0084_stakewise-v3-oseth_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
85,cosmos,atom,Cosmos Hub,data\0085_cosmos_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
86,vechain,vet,VeChain,data\0086_vechain_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
90,pudgy-penguins,pengu,Pudgy Penguins,data\0090_pudgy-penguins_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
98,renzo-restaked-eth,ezeth,Renzo Restaked ETH,data\0098_renzo-restaked-eth_usd_prices_365d.csv,366,ok,
91,pax-gold,paxg,PAX Gold,data\0091_pax-gold_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
99,sei-network,sei,Sei,data\0099_sei-network_usd_prices_365d.csv,366,ok,
92,jupiter-exchange-solana,jup,Jupiter,data\0092_jupiter-exchange-solana_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
100,official-trump,trump,Official Trump,data\0100_official-trump_usd_prices_365d.csv,283,ok,
93,lombard-staked-btc,lbtc,Lombard Staked BTC,data\0093_lombard-staked-btc_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
101,quant-network,qnt,Quant,data\0101_quant-network_usd_prices_365d.csv,366,ok,
94,flare-networks,flr,Flare,data\0094_flare-networks_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
102,chainopera-ai,coai,ChainOpera AI,data\0102_chainopera-ai_usd_prices_365d.csv,33,ok,
95,bfusd,bfusd,BFUSD,data\0095_bfusd_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
96,syrupusdc,syrupusdc,Syrup USDC,data\0096_syrupusdc_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
97,render-token,render,Render,data\0097_render-token_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
103,bonk,bonk,Bonk,data\0103_bonk_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
111,syrupusdt,syrupusdt,syrupUSDT,data\0111_syrupusdt_usd_prices_365d.csv,29,ok,
104,filecoin,fil,Filecoin,data\0104_filecoin_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
112,spx6900,spx,SPX6900,data\0112_spx6900_usd_prices_365d.csv,366,ok,
105,nexo,nexo,NEXO,data\0105_nexo_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
113,mantle-staked-ether,meth,Mantle Staked Ether,data\0113_mantle-staked-ether_usd_prices_365d.csv,366,ok,
106,solv-btc,solvbtc,Solv Protocol BTC,data\0106_solv-btc_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
114,first-digital-usd,fdusd,First Digital USD,data\0114_first-digital-usd_usd_prices_365d.csv,366,ok,
107,binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),data\0107_binance-bridged-usdc-bnb-smart-chain_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
115,jupiter-staked-sol,jupsol,Jupiter Staked SOL,data\0115_jupiter-staked-sol_usd_prices_365d.csv,366,ok,
108,xdce-crowd-sale,xdc,XDC Network,data\0108_xdce-crowd-sale_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
109,immutable-x,imx,Immutable,data\0109_immutable-x_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
110,morpho,morpho,Morpho,data\0110_morpho_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
116,global-dollar,usdg,Global Dollar,data\0116_global-dollar_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
124,clbtc,clbtc,clBTC,data\0124_clbtc_usd_prices_365d.csv,265,ok,
117,pancakeswap-token,cake,PancakeSwap,data\0117_pancakeswap-token_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
125,lido-dao,ldo,Lido DAO,data\0125_lido-dao_usd_prices_365d.csv,366,ok,
118,arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),data\0118_arbitrum-bridged-wbtc-arbitrum-one_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
126,aerodrome-finance,aero,Aerodrome Finance,data\0126_aerodrome-finance_usd_prices_365d.csv,366,ok,
119,ripple-usd,rlusd,Ripple USD,data\0119_ripple-usd_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
127,blockstack,stx,Stacks,data\0127_blockstack_usd_prices_365d.csv,366,ok,
120,celestia,tia,Celestia,data\0120_celestia_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
121,optimism,op,Optimism,data\0121_optimism_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
122,doublezero,2z,DoubleZero,data\0122_doublezero_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
123,injective-protocol,inj,Injective,data\0123_injective-protocol_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
128,fasttoken,ftn,Fasttoken,data\0128_fasttoken_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
136,fetch-ai,fet,Artificial Superintelligence Alliance,data\0136_fetch-ai_usd_prices_365d.csv,366,ok,
129,msol,msol,Marinade Staked SOL,data\0129_msol_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
137,floki,floki,FLOKI,data\0137_floki_usd_prices_365d.csv,366,ok,
130,virtual-protocol,virtual,Virtuals Protocol,data\0130_virtual-protocol_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
138,ether-fi-liquid-eth,liquideth,Ether.Fi Liquid ETH,data\0138_ether-fi-liquid-eth_usd_prices_365d.csv,6,ok,
131,curve-dao-token,crv,Curve DAO,data\0131_curve-dao-token_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
139,l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base),data\0139_l2-standard-bridged-weth-base_usd_prices_365d.csv,366,ok,
132,ousg,ousg,OUSG,data\0132_ousg_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
140,the-graph,grt,The Graph,data\0140_the-graph_usd_prices_365d.csv,366,ok,
133,hashnote-usyc,usyc,Circle USYC,data\0133_hashnote-usyc_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
134,superstate-short-duration-us-government-securities-fund-ustb,ustb,Superstate Short Duration U.S. Government Securities Fund (USTB),data\0134_superstate-short-duration-us-government-securities-fund-ustb_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
135,plasma,xpl,Plasma,data\0135_plasma_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
141,usdx-money-usdx,usdx,Stables Labs USDX,data\0141_usdx-money-usdx_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
149,gteth,gteth,GTETH,data\0149_gteth_usd_prices_365d.csv,40,ok,
142,ondo-us-dollar-yield,usdy,Ondo US Dollar Yield,data\0142_ondo-us-dollar-yield_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
150,dash,dash,Dash,data\0150_dash_usd_prices_365d.csv,366,ok,
143,pyth-network,pyth,Pyth Network,data\0143_pyth-network_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
151,arbitrum-bridged-weth-arbitrum-one,weth,Arbitrum Bridged WETH (Arbitrum One),data\0151_arbitrum-bridged-weth-arbitrum-one_usd_prices_365d.csv,366,ok,
144,tbtc,tbtc,tBTC,data\0144_tbtc_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
145,sonic-3,s,Sonic,data\0145_sonic-3_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
146,tezos,xtz,Tezos,data\0146_tezos_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
147,kaia,kaia,Kaia,data\0147_kaia_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
148,stader-ethx,ethx,Stader ETHx,data\0148_stader-ethx_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
152,humanity,h,Humanity,data\0152_humanity_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
160,pendle,pendle,Pendle,data\0160_pendle_usd_prices_365d.csv,366,ok,
161,theta-token,theta,Theta Network,data\0161_theta-token_usd_prices_365d.csv,366,ok,
153,iota,iota,IOTA,data\0153_iota_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
162,dogwifcoin,wif,dogwifhat,data\0162_dogwifcoin_usd_prices_365d.csv,366,ok,
154,ether-fi,ethfi,Ether.fi,data\0154_ether-fi_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
163,coinbase-wrapped-staked-eth,cbeth,Coinbase Wrapped Staked ETH,data\0163_coinbase-wrapped-staked-eth_usd_prices_365d.csv,366,ok,
155,beldex,bdx,Beldex,data\0155_beldex_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
164,polygon-pos-bridged-dai-polygon-pos,dai,Polygon PoS Bridged DAI (Polygon POS),data\0164_polygon-pos-bridged-dai-polygon-pos_usd_prices_365d.csv,366,ok,
156,usdai,usdai,USDai,data\0156_usdai_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
157,conflux-token,cfx,Conflux,data\0157_conflux-token_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
158,newton-project,ab,AB,data\0158_newton-project_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
159,myx-finance,myx,MYX Finance,data\0159_myx-finance_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
165,usual-usd,usd0,Usual USD,data\0165_usual-usd_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
173,jasmycoin,jasmy,JasmyCoin,data\0173_jasmycoin_usd_prices_365d.csv,366,ok,
166,bridged-usdc-polygon-pos-bridge,usdc.e,Polygon Bridged USDC (Polygon PoS),data\0166_bridged-usdc-polygon-pos-bridge_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
174,trust-wallet-token,twt,Trust Wallet,data\0174_trust-wallet-token_usd_prices_365d.csv,366,ok,
167,sweth,sweth,Swell Ethereum,data\0167_sweth_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
175,binance-peg-dogecoin,doge,Binance-Peg Dogecoin,data\0175_binance-peg-dogecoin_usd_prices_365d.csv,366,ok,
168,starknet,strk,Starknet,data\0168_starknet_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
176,bittorrent,btt,BitTorrent,data\0176_bittorrent_usd_prices_365d.csv,366,ok,
169,ethereum-name-service,ens,Ethereum Name Service,data\0169_ethereum-name-service_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
177,mantle-bridged-usdt-mantle,usdt,Mantle Bridged USDT (Mantle),data\0177_mantle-bridged-usdt-mantle_usd_prices_365d.csv,366,ok,
170,the-sandbox,sand,The Sandbox,data\0170_the-sandbox_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
171,gala,gala,GALA,data\0171_gala_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
172,bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche),data\0172_bitcoin-avalanche-bridged-btc-b_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
178,raydium,ray,Raydium,data\0178_raydium_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
186,bitcoin-cash-sv,bsv,Bitcoin SV,data\0186_bitcoin-cash-sv_usd_prices_365d.csv,366,ok,
179,true-usd,tusd,TrueUSD,data\0179_true-usd_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
187,astherus-staked-bnb,asbnb,Aster Staked BNB,data\0187_astherus-staked-bnb_usd_prices_365d.csv,248,ok,
180,benqi-liquid-staked-avax,savax,BENQI Liquid Staked AVAX,data\0180_benqi-liquid-staked-avax_usd_prices_365d.csv,0,error,Failed after retries (likely rate-limited).
188,ether-fi-staked-eth,eeth,ether.fi Staked ETH,data\0188_ether-fi-staked-eth_usd_prices_365d.csv,366,ok,
